Ticker,Company Name,Market Cap,Country
LAMR,Lamar Advertising,12882258944,United States
RBC,RBC Bearings,14774239232,United States
PEN,Penumbra,12381121536,United States
PFGC,Performance Food Group,13462322176,United States
PNFP,Pinnacle Financial Partners,14382732288,United States
FNF,Fidelity National Financial,15143303168,United States
ARCC,Ares Capital,14443363328,United States
EMA.TO,Emera,14729326282,Canada
ELS,Equity LifeStyle Properties,12108419072,United States
CLX,Clorox,12412723200,United States
JEF,Jefferies Financial Group,13340145664,United States
ERIE,Erie Indemnity,14740513792,United States
IEX,IDEX,13588602880,United States
HRL,Hormel Foods,12289396736,United States
SWK,Stanley Black &amp; Decker,12187897856,United States
LECO,Lincoln Electric,13550984192,United States
AMH,AMH (American Homes 4 Rent),13101194240,United States
PWF-PS.TO,Power Financial,14819013170,Canada
TOL,Toll Brothers,12992429056,United States
AKAM,Akamai,12686035968,United States
PSHZF,Pershing Square Holdings,13603843072,United States
FNMA,Fannie Mae,12379955200,United States
MLI,Mueller Industries,13219503104,United States
MAS,Masco,13462082560,United States
EPAM,EPAM Systems,12153066496,United States
CSL,Carlisle Companies,13964100608,United States
RPM,RPM International,13447606272,United States
GGG,Graco,13784122368,United States
RGA,Reinsurance Group of America,13287487488,United States
ZBRA,Zebra Technologies,12556719104,United States
ITT,ITT,15306518528,United States
WPC,W. P. Carey,14531506176,United States
ENTG,Entegris,14834059264,United States
UDR,UDR Apartments,13862327296,United States
BBY,Best Buy,14461270016,United States
NDSN,Nordson,14115533824,United States
JKHY,Jack Henry &amp; Associates,13513547776,United States
AVY,Avery Dennison,13954137088,United States
GMED,Globus Medical,12228083712,United States
BWA,BorgWarner,10267842560,United States
CMA,Comerica,11677826048,United States
TIH.TO,Toromont,9784765774,Canada
UHAL,U-Haul,10078326784,United States
LSCC,Lattice Semiconductor,11365069824,United States
RGEN,Repligen,9515951104,United States
ARX.TO,ARC Resources,9767585968,Canada
STN,Stantec,11225782272,Canada
TXRH,Texas Roadhouse,12013605888,United States
AYI,Acuity Brands,11362789376,United States
CAE,CAE,10233375744,Canada
ALGN,Align Technology,12091450368,United States
ATRL.TO,AtkinsRéalis,10967833021,Canada
PAG,Penske Automotive Group,10680035328,United States
RRX,Regal Rexnord,9986998272,United States
ARMK,Aramark,10091410432,United States
IGM.TO,IGM Financial,10826829053,Canada
WAL,Western Alliance Bancorporation,9701419008,United States
TECH,Bio-Techne,10135616512,United States
ENSG,The Ensign Group,10332622848,United States
SUN,Sunoco,10121406464,United States
AAL,American Airlines,10554782720,United States
WLK,Westlake Chemical,9552501760,United States
IAG,Iamgold,10069580800,Canada
PEGA,Pegasystems,10411969536,United States
AES,AES,10290147328,United States
DDS,Dillard's,10166851584,United States
AGNC,AGNC Investment,11864329216,United States
WTFC,Wintrust Financial,9784486912,United States
CRL,Charles River Laboratories,10668438528,United States
CPT,Camden Property Trust,11564670976,United States
RVTY,Revvity,11954314240,United States
SAP.TO,Saputo,11678101793,Canada
BMRN,BioMarin Pharmaceutical,11778530304,United States
HSIC,Henry Schein,9475912704,United States
EGP,EastGroup Properties,9789504512,United States
BAX,Baxter,10486737920,United States
BF-A,Brown Forman,11825737728,United States
WTRG,Essential Utilities,10762808320,United States
STRL,Sterling Infrastructure,9591816192,United States
GME,GameStop,9538121728,United States
WBS,Webster Financial,10732464128,United States
ATZ.TO,Aritzia,10295377106,Canada
BLD,TopBuild,11876556800,United States
SJM,J.M. Smucker Company,10187174912,United States
PR,Permian Resources,10056468480,United States
SEIC,SEI Investments,10818429952,United States
SSB,South State Corp,9775775744,United States
SPXC,SPX Corporation,10365799424,United States
DY,Dycom Industries,10624242688,United States
SAIA,Saia,9529539584,United States
NCLH,Norwegian Cruise Line,11117387776,United States
ORI,Old Republic International,10558691328,United States
FIVE,Five Below,11065062400,United States
MANH,Manhattan Associates,10465299456,United States
EFN.TO,Element Fleet Management,9953106152,Canada
WYNN,Wynn Resorts,12099748864,United States
CCK,Crown Holdings,11714367488,United States
AIZ,Assurant,11933603840,United States
SCI,Service Corporation International,11100961792,United States
BXP,"BXP, Inc.",11698167808,United States
GL,Globe Life,11321054208,United States
EHC,HealthSouth,10713993216,United States
AFG,American Financial Group,11111857152,United States
MOH,Molina Healthcare,9559796736,United States
CADE,Cadence Bancorp,8350280192,United States
ARE,Alexandria Real Estate Equities,9018011648,United States
DOOO,Bombardier Recreational Products,8023764992,Canada
OTEX,OpenText,8222794240,Canada
KNX,Knight-Swift,8951372800,United States
MTCH,Match Group,7841875456,United States
CYTK,Cytokinetics,7998571520,United States
ZION,Zions Bancorporation,8880609280,United States
FLS,Flowserve,9394088960,United States
ARWR,Arrowhead Pharmaceuticals,8925935616,United States
CUBE,CubeSmart,8327949824,United States
AOS,A. O. Smith,9405498368,United States
PAYC,Paycom,8822159360,United States
CFR,Cullen/Frost Bankers,8658826240,United States
TTC,The Toro Company,8190706688,United States
JBTM,JBT Marel Corporation,8227587584,United States
QBR-B.TO,Quebecor,8769832080,Canada
IDCC,InterDigital,7978864128,United States
CGG.TO,China Gold International Resources,8269760719,Canada
APA,APA Corporation,8368625152,United States
RRC,Range Resources,8258084352,United States
LNC,Lincoln National Corporation,8486477312,United States
ATR,AptarGroup,7934649856,United States
MUSA,Murphy USA,8217579520,United States
HBM,Hudbay Minerals,8394390016,Canada
OMF,OneMain Financial,8360152064,United States
CTRE,CareTrust REIT,8317937152,United States
MGM,MGM Resorts,9332038656,United States
AGCO,AGCO,8022779904,United States
COLB,Columbia Banking System,8646049792,United States
ONB,Old National Bank,9003410432,United States
WTS,Watts Water Technologies,9393182720,United States
OSK,Oshkosh Corporation,9071405056,United States
KNSL,Kinsale Capital Group,9284117504,United States
AN,AutoNation,7831305728,United States
LKQ,LKQ Corporation,8030119936,United States
HQY,HealthEquity,8454694912,United States
GTLS,Chart Industries,9291774976,United States
BIO,Bio-Rad Laboratories,8742274048,United States
DVA,DaVita,7937214976,United States
BRX,Brixmor Property Group,7931051008,United States
BPOP,Banco Popular,8722918400,United States
CTC.TO,Canadian Tire,8368587074,Canada
OC,Owens Corning,9345379328,United States
GNRC,Generac Power Systems,8324921344,United States
AWI,Armstrong World Industries,8192695296,United States
AMG,Affiliated Managers Group,8742392832,United States
CBSH,Commerce Bancshares,8000811008,United States
CU.TO,Canadian Utilities,8391164285,Canada
AXSM,Axsome Therapeutics,8604934144,United States
UGI,UGI Corporation,7904875520,United States
POOL,POOLCORP,8844740608,United States
SANM,Sanmina,8521867264,United States
PPC,Pilgrim's Pride,8822512640,United States
PCTY,Paylocity,8452416000,United States
CMC,Commercial Metals Company,8130930688,United States
WCP.TO,Whitecap Resources,9471266452,Canada
ALA.TO,AltaGas,9111157545,Canada
OVV,Ovintiv,9365500928,United States
FRT,Federal Realty Investment Trust,8824878080,United States
DOX,Amdocs,9093038080,United States
TFII,TFI International,8897739776,Canada
OGE,OGE Energy,8690675712,United States
HALO,Halozyme Therapeutics,8832710656,United States
LAD,Lithia Motors,7935337472,United States
KEY.TO,Keyera,6933279240,Canada
CS.TO,Capstone Copper,7593465976,Canada
MTG,MGIC Investment,6625231360,United States
KEX,Kirby Corporation,6877907968,United States
CIGI,Colliers International,7407377408,Canada
CHE,Chemed,6401054208,United States
NEU,NewMarket Corp,6558063616,United States
FCFS,FirstCash,7349434368,United States
EMP-A.TO,Empire Company,7797053838,Canada
DSGX,Descartes Systems Group,7366491136,Canada
PRIM,Primoris Services Corporation,6929649152,United States
CHP-UN.TO,Choice Properties REIT,7826590724,Canada
FLR,Fluor Corporation,7177897984,United States
PFSI,PennyMac,7081854464,United States
PB,Prosperity Bancshares,6839721472,United States
SSD,Simpson Manufacturing Company,6880172544,United States
NXE,NexGen Energy,7154352640,Canada
GKOS,Glaukos,6532052992,United States
EXLS,EXL Service,6901456896,United States
SNV,Synovus,6947805696,United States
BYD,Boyd Gaming,6901454848,United States
SMTC,Semtech,7044149248,United States
LEA,Lear Corporation,6466669056,United States
CLF,Cleveland-Cliffs,6859277824,United States
MAT,Mattel,6969185792,United States
OLLI,Ollie's Bargain Outlet,6936711168,United States
FSS,Federal Signal,6915759616,United States
ZWS,Zurn Water Solutions,7737574912,United States
FMCC,Freddie Mac,6604605440,United States
SIRI,Sirius XM,7081651712,United States
NFG,National Fuel Gas,7478822400,United States
MIDD,Middleby,7794443264,United States
EMN,Eastman Chemical,7607647744,United States
CAG,Conagra Brands,7692180992,United States
THG,Hanover Insurance Group,6373936128,United States
MHK,Mohawk Industries,6640037376,United States
VNO,Vornado Realty Trust,7022795776,United States
GSAT,Globalstar,7718117376,United States
URBN,Urban Outfitters,7136366080,United States
MKTX,MarketAxess,6490461184,United States
TXNM,TXNM Energy,6440520192,United States
DPM.TO,Dundee Precious Metals,7130652737,Canada
EAT,Brinker International,6941488640,United States
BOKF,BOK Financial,7766278656,United States
AXTA,Axalta,6920860160,United States
STWD,Starwood Property Trust,6853961728,United States
PJT,PJT Partners,7147925504,United States
MSA,MSA Safety,6598687744,United States
IBP,Installed Building Products,6956675072,United States
ORA,Ormat Technologies,7077431808,United States
CWST,Casella Waste Systems,6401396224,United States
SFM,Sprouts Farmers Market,7303076864,United States
FSV,FirstService,7064132608,Canada
WING,Wingstop Restaurants,7208238080,United States
VIRT,Virtu Financial,7019210240,United States
IDA,Idacorp,6832937472,United States
CPB,Campbell's,7829005312,United States
R,Ryder,7675166208,United States
IESC,IES Holdings,7794439680,United States
OR,Osisko Gold Royalties,7211138560,Canada
EGO,Eldorado Gold,7674605568,Canada
MASI,Masimo,7363107840,United States
INGR,Ingredion,7085570048,United States
TTMI,TTM Technologies,7251750400,United States
CRK,Comstock Resources,6470915072,United States
