Rank,Name,Symbol,marketcap,price (USD),country
449,MPLX,MPLX,53337911296,52.34,United States
453,Realty Income,O,52756594688,57.35,United States
457,Marathon Petroleum,MPC,52446543872,172.51,United States
458,Vistra,VST,52382425088,154.6,United States
459,Chipotle Mexican Grill,CMG,52120199168,38.87,United States
461,MetLife,MET,52051587072,78.27,United States
464,Loblaw Companies,L.TO,51803958506,43.8581,Canada
468,Electronic Arts,EA,51146702848,204.5,United States
471,Alimentation Couche-Tard,ATD.TO,50352918644,53.5314,Canada
474,Edwards Lifesciences,EW,49803698176,84.83,United States
476,Constellation Software,CSU.TO,49762934364,2348.25,Canada
481,CBRE Group,CBRE,49498644480,166.33,United States
483,Axon Enterprise,AXON,49323388928,620.91,United States
484,Cardinal Health,CAH,49227317248,207.19,United States
486,Grayscale Bitcoin Trust,GBTC,49158266880,71.0,United States
488,National Bank of Canada,NA.TO,48954365164,124.83,Canada
489,HEICO,HEI,48901611520,350.91,United States
490,Ametek,AME,48772853760,211.18,United States
491,Dominion Energy,D,48741371904,57.08,United States
497,Baker Hughes,BKR,48194035712,48.84,United States
498,W. W. Grainger,GWW,48056098816,1004.68,United States
502,Take-Two Interactive,TTWO,47427186688,256.67,United States
507,Target,TGT,47107559424,103.67,United States
508,Roper Technologies,ROP,47102140416,437.6,United States
511,Ameriprise Financial,AMP,46951014400,498.04,United States
514,"Strategy 
 (MicroStrategy)",MSTR,46824644608,161.83,United States
516,Delta Air Lines,DAL,46784782336,71.65,United States
518,Fastenal,FAST,46621732864,40.61,United States
519,Public Storage,PSA,46617010176,265.68,United States
525,Rockwell Automation,ROK,46023397376,409.34,United States
526,Monolithic Power Systems,MPWR,45946646528,959.08,United States
529,Cameco,CCJ,45385609216,103.94,Canada
535,MSCI,MSCI,44770488320,578.69,United States
538,Great-West Lifeco,GWO.TO,44648271768,49.2177,Canada
541,Oneok,OKE,44536344576,70.72,United States
542,Imperial Oil,IMO,44318879744,87.13,Canada
549,Block,XYZ,43566968832,71.47,United States
552,Exelon Corporation,EXC,43419353088,42.99,United States
553,Waste Connections,WCN,43331391488,168.53,United States
554,Xcel Energy,XEL,43312541696,73.22,United States
557,Cheniere Energy,LNG,43089932288,196.07,United States
560,American International Group,AIG,42697076736,77.07,United States
567,Las Vegas Sands,LVS,42168848384,61.43,United States
568,Carnival Corporation,CCL,42128322560,32.11,United States
570,Franco-Nevada,FNV,42112770048,217.6,Canada
571,Agilent Technologies,A,41904197632,147.81,United States
572,Yum! Brands,YUM,41783975936,150.49,United States
576,IQVIA,IQV,41602584576,244.29,United States
579,eBay,EBAY,41198551040,90.15,United States
581,Prudential Financial,PRU,41124532224,116.85,United States
582,Cognizant Technology Solutions,CTSH,41078980608,84.11,United States
584,Entergy,ETR,40778760192,91.31,United States
585,Fairfax Financial,FFH.TO,40732691355,1831.62,Canada
586,D. R. Horton,DHI,40686952448,139.31,United States
587,Diamondback Energy,FANG,40658325504,140.45,United States
590,Occidental Petroleum,OXY,40383778816,40.99,United States
592,Paychex,PAYX,40071536640,111.63,United States
596,Microchip Technology,MCHP,39960641536,73.94,United States
602,Veeva Systems,VEEV,39344799744,239.35,United States
604,Kroger,KR,39283564544,59.28,United States
608,Dollarama,DOL.TO,39075623829,142.827,Canada
615,PSEG,PEG,38724366336,77.58,United States
618,Vulcan Materials,VMC,38598078464,292.12,United States
626,FICO,FICO,37938020352,1580.51,United States
627,Estee Lauder,EL,37935124480,105.27,United States
628,The Hartford,HIG,37902548992,135.9,United States
631,United Airlines Holdings,UAL,37747847168,116.6,United States
632,Nucor,NUE,37718196224,164.81,United States
634,Martin Marietta Materials,MLM,37694377984,625.04,United States
635,State Street Corporation,STT,37575446528,132.45,United States
636,Targa Resources,TRGP,37561737216,174.55,United States
637,Insmed,INSM,37536129024,176.0,United States
639,Kinross Gold,KGC,37335871488,30.54,Canada
649,Crown Castle,CCI,37054906368,85.09,United States
650,Wabtec,WAB,37032742912,216.62,United States
651,Keurig Dr Pepper,KDP,37021392896,27.25,United States
